Day Index,Users,Pageviews
1/1/2019,38,229
1/2/2019,98,521
1/3/2019,82,467
1/4/2019,88,572
1/5/2019,50,426
1/6/2019,52,392
1/7/2019,127,824
1/8/2019,110,627
1/9/2019,119,753
1/10/2019,117,785
1/11/2019,102,584
1/12/2019,64,532
1/13/2019,55,402
1/14/2019,136,993
1/15/2019,92,626
1/16/2019,72,562
1/17/2019,113,816
1/18/2019,68,474
1/19/2019,47,322
1/20/2019,36,200
1/21/2019,52,240
1/22/2019,104,669
1/23/2019,109,702
1/24/2019,113,771
1/25/2019,118,637
1/26/2019,63,364
1/27/2019,70,316
1/28/2019,106,650
1/29/2019,148,872
1/30/2019,159,954
1/31/2019,92,529
